Ticker,nav_monthly_3_year,compare_s_and_p
IVV,10.72,1
IWF,12.95,1.2080223880597014
IJR,11.82,1.1026119402985075
IVW,12.17,1.1352611940298507
USMV,11.58,1.0802238805970148
SCZ,12.33,1.150186567164179
IJK,11.44,1.0671641791044775
MTUM,16.26,1.5167910447761195
IJT,12.59,1.1744402985074627
ITA,18.79,1.7527985074626864
IYW,18.05,1.6837686567164178
QUAL,11.08,1.0335820895522387
IUSG,12.27,1.1445895522388059
MCHI,11.86,1.1063432835820894
DGRO,11.36,1.0597014925373134
ITB,18.71,1.7453358208955223
IYF,11.47,1.069962686567164
HEZU,11.33,1.0569029850746268
IHI,18.01,1.680037313432836
IYG,13.27,1.237873134328358
IXN,19.44,1.8134328358208955
IGM,20.09,1.8740671641791045
SOXX,27.38,2.55410447761194
IYJ,12.24,1.1417910447761193
IGV,20.75,1.935634328358209
IWY,14.11,1.316231343283582
JKD,11.23,1.0475746268656716
JKE,11.85,1.105410447761194
HEWG,11.98,1.1175373134328357
IAT,14.19,1.3236940298507462
AIA,12.57,1.1725746268656716
WOOD,12.19,1.1371268656716418
SCJ,15.38,1.4347014925373134
SMIN,15.58,1.4533582089552237
EWO,16.3,1.5205223880597014
EWN,12.39,1.1557835820895521
IEUS,12.72,1.1865671641791045
IAK,12.42,1.1585820895522387
IAI,14.79,1.3796641791044775
IWL,11.03,1.028917910447761
EWK,12.28,1.1455223880597014
EIRL,13.65,1.273320895522388
EDEN,13.16,1.2276119402985075
EWGS,20.79,1.9393656716417909
JPMV,11.02,1.0279850746268655
